institution_id,numeric_0,numeric_1,numeric_2,numeric_3,numeric_4,numeric_5,numeric_6,numeric_7,numeric_8,numeric_9,categorical_0,categorical_1,categorical_2,categorical_3,categorical_4,target_rate,target_std,n_patients
INST_000,-0.4663837815947527,0.6454445095444182,1.1878020125553495,0.7736159169730948,-0.49759744990864974,-0.028823741355223587,0.626049992988029,0.9271311491344346,1.097533581611886,-2.0284314745856444,2,3,3,1,2,0.5016739165265028,0.01,537
INST_001,-0.4029684258277009,-0.7012574786451805,-0.8286910911526402,0.011792443295319255,1.6919294223153327,-0.6433526970567973,1.200507097297144,-0.5284410733945919,-0.5539580269212885,-0.1133650537932605,2,2,3,0,1,0.3629647303855728,0.19007639549103172,541
INST_002,-0.11232277330219431,1.239985280196545,1.7624606510262617,-0.4465379332235325,-1.1835447913478991,0.1502385768300354,0.36716659861752265,-0.6376745728934714,-0.667041858230135,-1.4907279407315894,2,3,0,1,2,0.39326903617659364,0.6433265511609083,485
INST_003,0.41386353458336445,-0.08845908828181973,0.50067211115847,-0.14031795181453127,0.355527802157651,0.8480688126037826,-0.07711779701457513,1.6112039357786243,-0.8809989380021649,-0.6391719654633379,1,2,3,0,1,0.45307107140383646,0.336833362400474,510
INST_004,-0.46503510346872867,-1.4267244699414245,0.29715923787628357,-0.18246764568072088,0.2094822298086242,0.7032250775423549,0.6787599187356074,1.819813807193999,-0.31755848144493726,-0.6994164309424198,1,2,3,0,1,0.2607952891823383,0.18766487877350346,585
INST_005,-0.16301542037679861,-1.9182192583104147,-1.6369257153323855,-1.0357649178323993,-0.800258716520545,0.6222526453598825,-0.6732503126543975,0.7762661441818232,1.0801553008505518,-0.632382089959692,1,2,2,2,1,0.48836365300721785,0.34136275310597286,577
INST_006,1.043049759949001,-0.8069011547336047,-0.4383453208828784,-0.8500736392773304,-0.5989343449096822,1.0784085554583256,-1.7408526403903093,0.38431744406335505,0.05317239037767221,-0.2627850471430389,0,1,0,3,0,0.7636030354197322,0.01,633
INST_007,-2.144602959049927,0.6008882081175595,0.43962070676253406,0.134863350379609,-0.6993408531598891,0.894041586893797,0.3191152960261132,-0.3854857421774145,0.6455209907296618,-0.3512789707582129,2,3,3,1,0,0.5651711067709911,0.2356657949191526,496
INST_008,1.664721766722351,0.9618277711908507,0.12396329613426094,1.5632513068528127,-1.4486643233319705,-0.40165111474881754,-0.9401081586034856,-0.43991600263827024,-1.5612493595109145,0.9665158553681599,0,1,2,3,0,0.5578726747194919,0.24909804307291583,676
INST_009,0.08331149438314109,-1.3440897692263856,-1.24848684422279,0.41346226308344614,0.5782252988852614,2.2348313096927166,2.900330248809369,0.3643032337934941,-1.1741013319864697,-1.8006813721775536,0,0,2,0,0,0.6689048216491501,0.2212613243473978,675
INST_010,-0.43083364231763666,-0.284182394906636,0.5537561556466511,-0.7099096600349031,-0.8619838850997172,0.3582429263605251,0.7155194909444822,0.47937691340576216,-0.5694083970524659,-2.245958599434335,2,3,2,1,1,0.4638904373534447,0.39888521757731005,544
INST_011,-0.18077371759141642,0.07293397445795176,1.5350221505646346,0.23022293710613667,0.7228382420139379,-0.2611951805382219,-1.1984759836149852,-1.0152229617148743,-0.9097892764903589,2.45983464098892,0,0,2,0,0,0.7411420535726181,0.28587320605596295,644
INST_012,-0.9046838886947857,0.60760437938396,-1.0927404209963245,1.2185077073962471,0.5819390771867999,0.06584052097835547,0.19146621657022925,0.49964100279182244,0.2269992045465669,-0.7311015992390462,1,2,3,0,1,0.11381495492793486,0.3718496243971265,532
INST_013,-1.9241508684287205,-0.7491788739159293,1.141701333548456,1.48127839543534,-0.5612013851098937,-0.826375630537001,0.8442970631016804,1.9440134921512753,0.6856278571372021,-0.9822028855637153,2,1,3,1,2,0.45985029046760967,0.177008456989184,471
INST_014,1.4118229015418033,0.5554729637378857,1.3028482289807437,0.283182852855157,-1.48437030072962,-1.130058781244735,1.637395715033289,1.6735595213007948,-0.36408242523720635,-0.05182241258223225,0,1,2,3,0,0.3021881854842459,0.3688487333821373,653
INST_015,1.7669784837241167,-0.9803291567672157,-1.1276347819710748,0.7432752103222953,-0.6545063918687093,0.23297855128085887,-0.1769751157224733,0.2874683493164313,1.222918649359111,0.42194981545550103,2,0,2,3,0,0.3765508602187648,0.4785169642641538,719
INST_016,-0.05460631138461458,-1.5214134006273325,0.9203950138962185,-0.9410431312679661,-1.9400060591069601,-1.5858896713558692,0.22434748279832545,1.5539142928004637,-0.8601473619662183,-0.5406441621355607,2,3,3,1,2,0.714770730157493,0.134741871376086,547
INST_017,-0.17863524185166402,-0.2009565690856886,0.7698500622893557,0.6380638526371769,1.0774968384336239,0.08359473875102968,-0.7094748288686638,-0.2739650163630018,0.05793357931661591,0.5079382670074666,2,1,2,3,1,0.7350877320485986,0.10102207376337108,633
INST_018,-1.1676852817037662,-0.14039504272451075,0.038415087229606903,2.8044087320559234,2.073832722362607,-0.6307649319223742,-0.05515461884351283,-0.30901330361579027,-0.8097800108990001,0.0394868846920744,2,2,3,0,1,0.2806038325674849,0.47196837212896187,565
INST_019,1.122556411417834,-0.9599686620959935,-0.8439596829770948,-1.8603543352166518,0.034322190536029085,-0.8399359932231172,-0.29721068466041045,0.27756792005362463,-0.3133355511880706,-2.0338465102548975,2,2,2,0,1,0.1631503491540689,0.24289912367666788,525
