institution_id,n_patients,mcv_mean,mcv_std,alkphos_mean,alkphos_std,sgpt_mean,sgpt_std,sgot_mean,sgot_std,gammagt_mean,gammagt_std,drinks_mean,drinks_std,target_rate,target_std
INST_1,12,89.5,5.054251135970054,77.75,22.242976419535225,30.25,17.242257814609275,25.25,10.703652732510609,40.833333333333336,36.36890113403167,2.6666666666666665,2.657180095628834,1.75,0.45226701686664544
INST_10,12,89.5,3.2333489534143185,73.58333333333333,24.1678160646206,30.833333333333332,14.677337715820347,24.583333333333332,5.869154087001781,48.416666666666664,32.70656963011708,2.25,2.147937700129211,1.75,0.4522670168666454
INST_11,12,91.08333333333333,4.48144321991625,70.66666666666667,20.11482191335684,26.5,16.373481886602775,21.666666666666668,9.138662457665866,48.0,38.92183308772971,4.625,2.307349916324708,1.4166666666666667,0.5149286505444373
INST_12,12,89.16666666666667,4.195957650651471,81.25,26.564244595114896,34.25,24.838112210508633,25.333333333333332,11.987367087770764,49.0,52.865180154117255,5.625,3.8026605518672416,1.5,0.5222329678670935
INST_13,12,89.83333333333333,3.6390141855211615,60.666666666666664,11.547005383792516,29.666666666666668,19.951456239097087,23.5,10.54427893133609,27.916666666666668,15.802521854745114,2.875,1.9202864369671522,1.5833333333333333,0.5149286505444373
INST_14,12,87.75,3.9800639556304986,65.0,18.46372364689991,30.416666666666668,18.406808687564663,24.833333333333332,8.901821400276702,27.5,20.77804785650646,2.7083333333333335,3.06340818321191,1.6666666666666667,0.4923659639173309
INST_15,12,90.0,3.668043818514912,67.16666666666667,23.26852471525091,26.333333333333332,15.065513498374258,24.0,10.971036248396791,30.25,19.25014757912733,4.0,5.518563713009523,1.5833333333333333,0.5149286505444373
INST_16,11,90.45454545454545,3.8304996113728067,65.0,11.126544836560901,34.81818181818182,38.25393622052032,28.636363636363637,16.37847811777839,56.27272727272727,70.332198755749,2.227272727272727,2.7052138211575474,1.8181818181818181,0.40451991747794525
INST_17,11,91.0,4.242640687119285,74.0,16.982343772283023,37.45454545454545,26.21970112859274,27.181818181818183,7.400245696166875,34.63636363636363,39.651665103177514,2.8181818181818183,3.4152066355692687,1.4545454545454546,0.5222329678670935
INST_18,11,89.72727272727273,6.230423887520159,67.27272727272727,17.630036353285885,25.545454545454547,6.933449882470289,22.454545454545453,8.454154438660751,36.90909090909091,23.9518456301578,4.5,3.3466401061363023,1.5454545454545454,0.5222329678670935
INST_19,11,89.63636363636364,3.640679257301507,61.63636363636363,10.84686800207993,30.272727272727273,16.864702245168214,24.272727272727273,9.023202414784997,49.63636363636363,56.64322153139372,3.3636363636363638,3.708712101868444,1.8181818181818181,0.40451991747794525
INST_2,12,88.41666666666667,3.9186809778368787,67.41666666666667,12.65240425110316,31.083333333333332,15.63479995704997,26.083333333333332,8.45800678575507,49.416666666666664,39.85532548727924,3.9166666666666665,4.4712888793304595,1.5833333333333333,0.5149286505444373
