institution_id,n_patients,pregnancies_mean,pregnancies_std,glucose_mean,glucose_std,blood_pressure_mean,blood_pressure_std,skin_thickness_mean,skin_thickness_std,insulin_mean,insulin_std,bmi_mean,bmi_std,diabetes_pedigree_mean,diabetes_pedigree_std,age_mean,age_std,target_rate,target_std
INST_1,26,3.5,3.0757112998459397,126.11538461538461,26.601243464284792,69.76923076923077,18.472266113950802,21.03846153846154,19.344210026218736,71.46153846153847,128.29504457124781,35.38846153846154,7.677672924686329,0.6156923076923076,0.5518679384947648,31.46153846153846,10.647932265865592,0.46153846153846156,0.5083911274417939
INST_10,26,3.8846153846153846,2.7470263642990114,126.1923076923077,33.7354641062123,65.15384615384616,20.646921916241766,17.807692307692307,13.740507212673716,64.3076923076923,104.67655677591587,28.63076923076923,8.797580086854305,0.5156153846153846,0.4135664470841974,32.11538461538461,12.866474025394595,0.2692307692307692,0.45234432086120485
INST_11,26,3.3461538461538463,2.755972535310288,120.61538461538461,30.49206706417513,70.53846153846153,14.408971564218646,25.03846153846154,15.211786927855043,80.8076923076923,102.22094471516851,31.207692307692305,9.24774234402854,0.46007692307692305,0.28539627510910837,29.884615384615383,9.074478158338025,0.3076923076923077,0.4706787243316417
INST_12,26,4.384615384615385,4.020715588816727,120.57692307692308,34.54987476321507,70.0,13.56171080653175,24.923076923076923,14.427537771700552,101.11538461538461,124.60893288141968,31.699999999999996,8.325911361526737,0.47811538461538466,0.34378997389953964,32.26923076923077,9.812472439941699,0.4230769230769231,0.5038314736557788
INST_13,26,3.3461538461538463,3.1615478195631668,124.76923076923077,29.612575291328778,70.65384615384616,19.68744230760778,21.26923076923077,16.00389375697725,85.0,117.24401903721997,35.28076923076923,8.498000669840842,0.47965384615384615,0.33178305469781816,31.0,11.267652816802618,0.38461538461538464,0.49613893835683387
INST_14,26,2.8461538461538463,2.509060504528461,115.96153846153847,32.15895616369507,70.73076923076923,19.207410428910382,20.384615384615383,14.22695167090104,84.76923076923077,129.8584791817023,32.70384615384615,6.781001741290487,0.3688461538461538,0.18877620449785343,30.807692307692307,9.850966371962626,0.23076923076923078,0.4296689244236597
INST_15,26,3.0384615384615383,2.306178990985205,116.92307692307692,27.323137560570274,66.34615384615384,16.552805943868986,23.53846153846154,14.173865440960753,87.26923076923077,103.18819998131868,30.41923076923077,8.461395593199468,0.5,0.2581774583498722,31.192307692307693,13.44327112207213,0.2692307692307692,0.4523443208612048
INST_16,26,4.3076923076923075,3.5073549095491403,126.26923076923077,34.04885630068381,68.38461538461539,16.68550729963443,18.03846153846154,16.78685383085412,80.92307692307692,139.18187326715304,32.669230769230765,6.208430992176317,0.3814230769230769,0.23723746299046836,34.11538461538461,12.38814569845519,0.38461538461538464,0.49613893835683387
INST_17,26,4.038461538461538,4.209330295719443,112.8076923076923,30.33812021964345,63.65384615384615,20.801812051246515,14.26923076923077,14.284418622562676,61.23076923076923,79.80240983444432,30.034615384615385,8.707649157272808,0.5191538461538461,0.3289241483756025,30.692307692307693,8.21106195699061,0.23076923076923078,0.4296689244236597
INST_18,26,4.038461538461538,3.6821816275764476,129.76923076923077,28.142931890345317,71.07692307692308,11.270929249793303,20.384615384615383,14.8326044188522,91.8076923076923,96.68878703583749,32.92307692307692,5.768279306157612,0.41242307692307695,0.3110309531962275,30.03846153846154,9.070747573296346,0.5,0.5099019513592785
